galaxy,w50_cdm,w20_cdm,w10_cdm,w50_sidm,w20_sidm,w10_sidm,dW_cdm,dW_sidm,K_cdm,K_sidm
431_x,145.599993,179.1999928,179.1999928,123.1999935,145.59999299999998,156.799993,0.23076924049027925,0.18181818735242042,14829301177.048307,18375476769.94178
431_y,134.3999978,156.79999235,179.199992,100.79999799999999,134.39999295,156.7999928,0.16666662884424543,0.333333289847883,10887048235.58387,14955695263.441076
431_z,145.5999935,-1,-1,67.199994,123.199994,-1,-1,0.8333334077381018,12938770179.912518,18231243361.065083
468_x,67.19999835,134.399998,168.0,-1,-1,-1,1.0000000193452387,-1,1606926196.957057,-1
468_y,78.39999850000001,134.39999705000002,156.799997,-1,-1,-1,0.7142857094569971,-1,-5241678107.607729,-1
468_z,78.4000035,123.199993,156.7999928,-1,-1,-1,0.5714284119898032,-1,7357581313.905158,-1
492_x,156.7999972,190.39999705000002,201.599997,134.39999799999998,179.1999972,179.1999972,0.2142857171556124,0.3333333323412701,-12139341015.028963,-12307540631.131674
492_y,78.399999,123.1999935,145.59999299999998,78.39999399999999,123.19999399999999,145.5999935,0.5714285085641393,0.5714286151603533,14334622202.57291,15053162726.794456
492_z,55.99999500000001,-1,-1,55.99999500000001,-1,-1,-1,-1,9453335304.458548,12780806913.928741
502_x,89.59999834999999,145.6,168.000002,-1,-1,-1,0.6250000299246657,-1,2921933291.679065,-1
502_y,67.199998,134.39999765,156.7999972,-1,-1,-1,1.0000000245535723,-1,-8320877993.843396,-1
502_z,89.5999985,134.39999300000002,167.9999928,-1,-1,-1,0.49999994698660655,-1,9003329662.090712,-1
523_x,89.599998,123.199998,123.199998,-1,-1,-1,0.3750000083705358,-1,793404802.8812822,-1
523_y,78.3999985,100.799998,111.999998,-1,-1,-1,0.2857142848032071,-1,155932239.12089178,-1
523_z,78.400003,100.79999799999999,111.999998,-1,-1,-1,0.28571421100583366,-1,4822868385.144611,-1
569_x,-1,-1,-1,-1,-1,-1,-1,-1,289005.0427324195,-1
569_y,67.199998,89.59999800000001,100.799998,-1,-1,-1,0.33333334325396885,-1,-6228301209.788305,-1
569_z,89.59999200000001,-1,-1,-1,-1,-1,-1,-1,9819073109.93485,-1
