Galaxy,Mstar,sSFR,B/a,C/a,Gas,Rho 
442,9.18,-9.84,0.91,0.63,0.84,0.39
468,9.31,-9.80,0.91,0.81,0.71,-0.10
492,9.07,-9.51,0.87,0.57,0.87,0.63
502,9.15,-9.56,0.87,0.40,0.80,0.17
515,9.04,-9.50,0.83,0.47,0.89,0.58
523,8.72,-9.85,0.95,0.56,0.89,0.65
556,9.03,-9.82,0.82,0.68,0.77,0.61
568,9.29,-9.64,0.91,0.47,0.73,0.72
569,8.68,-9.84,0.91,0.60,0.91,0.74
571,8.64,-9.98,0.99,0.60,0.92,0.00
597,8.74,-9.81,0.91,0.53,0.87,0.38
613,8.74,-9.74,0.96,0.54,0.89,0.81
615,9.47,-9.00,0.52,0.45,0.85,0.69
618,8.64,-9.80,0.57,0.50,0.88,0.37
634,8.65,-9.88,0.97,0.58,0.91,0.80
