Mgas,Mbar
2619561265277.173,3238126441979.8228
2108069799855.4478,2661709252347.8223
1834754984112.0981,2500817853720.7275
1750646168990.5671,2110864136525.562
1247061268324.8542,1614157224059.5977
965491972128.1704,1330408066482.8286
826456542038.6211,1269235227063.132
879949173854.9723,1255703065043.8171
811463262648.8016,1070670667965.0369
642990633677.5095,799410890878.3104
594287571116.6416,760682048934.0197
459751326801.1694,634100222552.5667
357350603011.8442,530977676529.7986
425751147644.3808,546172548299.3259
363524586911.9624,527753566189.89124
325156941184.0064,509707483410.7534
373024533139.23083,474024683286.48486
319183890891.8895,446320467460.29346
260007050439.86282,407992547611.82874
300069611173.6991,419374909864.5645
188977786414.84647,333182328013.2407
282524202442.5816,367028013122.3125
201086667308.7695,301774278423.491
174268097416.94144,293161258102.7079
183610492697.1374,284971406418.01306
224167821168.3787,291571724631.5546
174567063419.31238,256720737146.45776
207635790688.707,263926379852.4655
149589708081.12338,222290958607.01355
173049393729.18677,225301799093.53064
33281614303.2826,170362955303.20166
120495766809.61438,179060192340.849
116503306726.08966,180786684378.12653
152823651705.58774,210870054421.67545
98309047328.06387,178057914728.07297
102406284825.76959,163761636577.56033
108701387556.38766,176347345569.5744
150484977538.2845,182234661194.55792
107565513893.31767,173577183565.24756
108009319249.31953,175477617644.88864
80138998099.94853,144888959653.0542
73159618829.59552,132195310083.37508
105179597928.3924,142430622443.88116
76952649263.59982,119097194458.55789
59279752853.39958,117617844370.81793
80504416000.73923,124001061215.17468
67982611931.75429,113542304270.41327
42431477690.52398,92292115085.42624
76857897497.93445,118392776767.66861
71313275457.59357,113650004398.73026
31952277177.788303,63013575202.37129
65733943461.89301,100223102599.65489
88045811526.28061,106903532600.271
65810813293.46323,103642173954.24628
23286758605.480316,75021109258.93478
57232015036.04125,86006983387.57666
60167382592.82136,93659014063.1199
63209506020.33019,89751146994.5466
23148739433.701313,70328931920.8958
42675586642.12291,83416500044.68842
41184599093.437355,72666591964.30997
35203666998.99486,74893839192.9715
50226590867.694046,77414805289.17682
2908184610.363737,67818451021.71599
39587674686.77677,74067477159.02101
44778688300.79726,78185353388.35461
43999287053.596924,69170503316.14017
36450747214.899345,69122908977.65694
28036522867.93929,64606427681.63498
31553994158.456085,58191610216.05713
37507868248.189545,67950723133.02319
37369097842.80779,64634079301.53194
2437305252.9920354,35961796126.80642
16396329544.88031,41375756944.49557
25993032665.64822,62558785493.43187
33346567945.71322,62389870164.60861
25906867155.94008,59142565497.86348
18225289002.25464,57445107101.61764
13596267816.809021,50232225211.89873
38558475109.5968,64618375368.860596
29306526744.238308,58657474935.0863
32255166417.865585,60511087717.33725
23040599443.756027,44620730832.743355
22344900960.15113,53679700715.13228
18439344516.77144,50418108915.66722
32399114342.78329,57958621438.86536
29065937076.43528,55369636469.72037
20868098641.51575,55988793864.66406
36637558645.91298,59147773314.91371
39995124058.039185,57064814599.9686
19620483029.37774,45190506527.24997
9654283630.459694,36881890707.88887
19297248887.82194,46675179055.85563
22601767649.000168,47855509442.99334
18194539405.560146,52665073897.53899
35373402239.812416,52690027735.29655
136795284.74596635,33214460545.363567
19635902919.093674,43937670866.78071
17075095.579532903,34408953953.01461
3854939200.8676386,40113246229.59282
30797661144.47758,43190553801.16363
31434737073.2619,37200572127.14439
23348743527.329098,44267479892.615265
32372563199.487724,49584850725.81747
24932537984.73339,49615258372.229675
37217900703.12519,44466755506.86726
18539057993.32013,39878872343.196754
13175158753.71853,29804356655.590317
15620647060.35621,39025819466.687096
37292753054.932076,50379965426.89681
27319643676.97824,45069333588.64508
29720921224.4393,43112607631.57156
5491894993.345811,33772430779.375004
14229565272.63956,36326317686.8528
20442614224.094227,40247204580.85205
11584710848.549648,33699861418.132084
17831618669.666893,37570380504.5414
7175185710.098316,40943812751.58455
33673183805.400745,44814640788.43244
26449578109.341152,41790989042.3188
31365378024.662613,41910286083.6423
7371671024.135934,36542135430.780556
15866200936.760052,34607452735.38603
17726028773.19388,35078145915.78342
17059734696.616749,38033087713.14035
26745743241.80163,41240778457.687996
7317382650.542285,30992698071.775402
2275198744.2655516,19145471268.584957
1028384445.2459633,18679760572.79392
5383414589.236435,33366504422.900322
5076358689.951417,28406941613.547176
19093833974.322224,33377417148.739056
15659938931.253088,27691948610.338028
3478493.651433434,23973844143.324963
23170932957.3869,33203388416.36539
11664288388.252464,27692270792.55935
1454895725.0240607,26030026273.6465
23231341281.28338,34356341215.7241
15465938513.36284,30389219449.438675
15028326943.700829,29638023560.92276
20358954572.182133,32056926520.56813
30843393546.731045,37739600517.96876
21864919.002523296,18166843379.400433
4225192082.152161,24630737771.276512
60430119.8573097,21661857216.896877
26656490906.263435,34751260145.27258
15957692083.748816,29410846889.406254
16211665746.599422,28688437244.529488
13858964872.852766,27355069011.963882
877525386.3724054,22253305753.640797
16824887898.271734,28827350633.63929
24746265411.211166,32604267749.06426
23676470928.397636,30233372407.56501
8464904929.7634735,25710876701.560635
12340362099.939184,26404095852.461243
27791792157.004852,32163477291.889053
5657519242.5863495,21604742222.575706
11774937660.804981,18010288008.349598
11957194678.06994,15077386672.372732
27340608193.720333,32599499909.710827
6452742226.727417,23070747973.188717
10018208210.969358,24297709415.41642
