galaxy,Mvir,Mgas,Mbar,Mstar
431,6.83e+10,7.18e+09,7.72e+09,5.45e+08
442,6.33e+10,4.12e+09,5.22e+09,1.10e+09
468,6.00e+10,6.53e+09,7.29e+09,7.67e+08
492,5.72e+10,4.68e+09,5.32e+09,6.38e+08
502,5.67e+10,6.01e+09,6.34e+09,3.29e+08
515,5.36e+10,5.01e+09,5.45e+09,4.33e+08
523,4.98e+10,1.41e+09,2.42e+09,1.02e+09
556,4.61e+10,3.38e+09,4.00e+09,6.27e+08
568,4.38e+10,2.85e+09,3.63e+09,7.80e+08
569,4.51e+10,4.27e+09,4.77e+09,4.94e+08
571,4.82e+10,2.34e+09,2.58e+09,2.38e+08
597,4.05e+10,2.04e+09,2.78e+09,7.37e+08
613,1.31e+10,0.00e+00,4.34e+09,4.34e+09
615,4.18e+10,2.87e+09,3.14e+09,2.64e+08
618,3.71e+10,1.01e+09,1.97e+09,9.57e+08
634,3.93e+10,3.17e+09,3.38e+09,2.13e+08
