Mgas,Mbar
2584178957918.224,3159623989585.1772
2150380315043.5435,2778487957174.2314
1825536828474.4314,2492368764575.327
1761570733434.6355,2121583992414.3994
1242252389944.3728,1614798453984.3918
963248376729.5227,1347266917728.961
807195545758.3763,1247034939597.106
892708281202.2499,1270831315932.5186
811876433935.2645,1075217729376.7069
635956793861.5653,792142998891.2821
596188964371.4822,762562050387.5795
463088101223.9216,649153840985.8567
360614151389.7531,536496611259.4851
347429583319.8031,535546063951.0115
366624397332.8522,537088050709.0862
427559311329.3085,549160569840.4436
371651001542.8459,475759032115.42615
324794338365.34625,453544765125.82196
301861919719.9068,421265119117.9543
259306601125.804,408919563026.8854
291608163406.4529,402594912820.15955
192060062445.9518,336391643362.06396
285904391384.05536,371166500237.5218
202981124560.8804,303477331084.10693
174147721143.86633,293131143371.3989
185528534674.54886,286817996629.2987
226737460720.5603,295791398916.5403
233699730577.38528,308084478408.6451
176414036234.07312,258816511957.5086
174666134455.5426,226846001619.7289
152330828921.0194,218499143455.2244
121095440155.02895,179598000698.1423
152820013569.0134,211439854611.2601
112956559477.34154,179363467713.8589
111942883638.97061,176323730453.27347
156115490282.75275,188908646811.76282
100595136395.92181,161845675120.71356
107648720301.9665,173865510636.9422
89123056695.99896,169330200872.2375
107868975308.41939,176562618876.28198
80188886439.65797,146696694924.56998
74092215476.25934,133403148389.35681
106642454055.1874,144025937898.096
59439428834.771194,118426036803.49995
76610611081.38657,118672113039.25383
80294007789.76137,124995415209.34698
67770678503.76852,113956694629.72723
77003573766.99136,118482225293.1186
70853316590.7982,113476380514.41655
28592948300.02715,60033216544.650566
37289225482.681206,86929017495.98862
65711507943.028366,100133902395.31651
86902063662.44159,106276188629.7714
66451947785.037766,104657711718.56787
22375250285.401394,74621412466.53992
61660383421.87703,96738559161.27449
55094094924.72098,84496740259.48541
62997778363.53257,90239485350.36748
2874781631.2645693,69530924179.40448
34463095228.276024,85305978673.35928
42424623291.4873,83977426270.86185
41414609768.485146,73353698146.30052
36874875191.43752,77011554719.71907
50249458637.208046,77870620817.43146
39792729885.3958,74579787371.41101
43936726680.82516,69044570166.12344
36628081431.23274,69611071976.84645
27910116815.644844,64339113774.37706
36825875256.76834,68149441591.969635
31788675925.61208,58390852014.086426
37235533296.79294,64838265310.568436
15484520664.203316,40426744098.52478
2421478275.6753798,35869970225.1906
25422311509.151176,62614176001.246735
33220813865.34837,62641894684.72087
18112592339.421898,57755502579.54376
25839817389.837166,59416559326.18146
38399561551.83264,64732891592.492645
13283707526.40527,50366615739.477066
29304388481.355164,58925315742.830505
31828201851.49718,60694429787.27254
22316889293.20517,53941554919.90975
23135609085.86286,44704978274.92497
32407326501.077423,58254431714.08946
28735783847.942596,55496348863.012566
16570376966.09292,48697909530.27984
3170725773.7186193,45165654618.75113
36685157974.05952,59466498266.751076
19514316982.085762,54998886188.7279
40292143911.56085,57939935873.56002
19371638436.642273,45393919350.8884
19267011915.245693,46889268695.56648
22640205709.82009,48209565400.78076
35497589225.50634,53276685518.53949
9050236847.48468,36505920733.10178
19642971684.365086,44204009822.34694
0.0,34319985706.3356
63211469.725165874,32308943996.918617
31127751225.785564,43890223729.65586
23630003520.109566,44743517962.2184
31702102404.794758,37474536241.326546
31880133995.26297,49613716534.04173
3331742976.53016,39572556453.04569
18138911555.964565,39739653601.79552
37055447943.29973,44430805333.987274
12196305045.824533,28802211744.530586
15596564562.608522,39221703299.413704
29613619021.8462,43606664180.87911
37122232779.91499,50463441380.78642
27438876930.129177,45319835196.30497
13922496461.088236,36469958766.52557
20395853308.862156,40422607649.51402
11324558293.631958,33590192572.087955
5136341365.90768,33365112738.294247
17894980766.901787,37790342595.86688
33733636233.748764,45247899081.17754
30692650924.229244,41462430689.583534
24965039448.480076,40692996488.84664
17614881451.113617,35414467799.713745
4263136081.770012,37821044610.393616
16978999975.954456,38252584063.98372
27007712523.79182,41769606021.944466
2263074138.250622,19118905996.193363
6319788913.465067,35588299812.88686
14541583226.184662,33542430865.64464
959014996.8706288,18600554770.41297
19013120971.477295,33694822297.21849
5170123269.459463,28568405048.82866
15759967579.499224,27829440999.281185
0.0,23924085573.504375
22672730672.837086,32814310291.450157
11705510045.827656,27806626712.668816
1433221533.098635,26022536717.053234
23175290851.8012,34554395234.48389
15414807514.574362,30488380296.951927
14970797365.0171,29723956875.380703
20218397245.425983,32043337401.88633
6647164451.442025,27724915783.27353
26824903433.262024,35108211107.73869
15791993644.597782,29605584542.520164
28410987372.896534,33841245821.803986
34421416.92319503,18164915014.156902
4076893296.0783167,24565029225.3459
25332384691.36118,33462358977.742775
13850424123.259834,27602398060.454086
16161371637.673708,28725937668.05126
16429878969.3557,28903361778.301346
23703474915.548775,30376212312.96014
8452551113.980444,25786980949.095795
12154222523.33014,26591882303.024025
583199429.8805737,21895069378.00923
28322334166.863,32748623146.33153
5495997542.432896,21678673682.833237
11825659435.85118,18070237359.10839
27539223499.069294,32892518406.926743
18093043247.614838,27392746107.012917
12094520954.42947,15214152505.414944
6496069867.654637,23159232265.87341
9933018970.926352,24411483597.441544
18772737605.94378,29397986856.503136
13910355.35808216,24829969889.127422
10658080.739101015,22341825372.253597
12843561.982821966,21414519514.490013
18998949624.15568,28628593429.07241
19763240409.799,25114729211.723904
22940347750.99049,28568026414.619785
14578192886.563152,18100165597.13884
0.0,25886139512.23182
2051792463.1308887,20922716740.493694
18319863809.868954,21789063996.2026
16661716513.956074,23172221683.774918
20500475958.643993,27487298842.12471
8059749805.421204,23005471715.141678
12854050729.828377,16487274119.913162
1315114497.1562018,16713957378.517254
11531926431.95112,23333155736.09176
9139969645.336405,21295271943.40899
22098230022.31589,29900788259.19709
11532168272.100483,21080063350.57914
14422104821.340462,19053079800.805443
55353858.20386283,20108584269.534546
18634353056.317383,25732799593.295143
10140771979.423897,13330685688.687357
367238305.94988686,12274669476.211357
15508887636.875008,23309447076.36937
19124345510.94052,26782076499.0101
6861642655.42036,10170179699.933266
6682957487.240445,20073354162.878757
