galaxyID,tstep,t,tlookback,z,M_star,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_coldgas_los,sigma_hotgas_los,SFR_10,SFR_100,sSFR_10,sSFR_100
m11h_r7100,600,13.736216022,0.0,0.0,4099303400.0,4.119873046875,31.61383628845215,20.46037337069812,27.81788444519043,17.09957629136462,18.0827435993569,17.471396819093794,3145297.5,50986616.0,-10.115048335552787,-9.905253876658222
m11h_r7100,599,13.733926683,0.002289339,0.000159264,4098780000.0,4.2724609375,31.616649627685547,20.273179063702322,28.99618148803711,16.88733096896858,15.937883655657984,17.540284837333637,3096441.0,51279564.0,-10.121791788908126,-9.902710274251866
m11h_r7100,598,13.731635434,0.004580588,0.000318646,4098297000.0,4.2724609375,31.623130798339844,20.02157557797923,30.839872360229492,18.021553833875245,17.512404308461903,17.981997359704966,2983145.5,51235300.0,-10.13792900130566,-9.903034153981327
m11h_r7100,597,13.729346562,0.00686946,0.00047791,4098030800.0,4.2724609375,31.63201332092285,19.787917840167466,31.61708641052246,18.91248762125933,17.37538731148355,17.19821627139472,3164707.2,51828244.0,-10.11224168126581,-9.898008728540331
m11h_r7100,596,13.727056638,0.009159384,0.000637293,4097795600.0,4.2724609375,31.65193748474121,20.9416023047256,30.162443161010742,18.883216059133744,18.078877101850754,18.1245457884679,3709193.0,52442970.0,-10.043270858583838,-9.892863027564859
m11h_r7100,595,13.724764804,0.011451218,0.000796795,4097272600.0,4.2724609375,31.661046981811523,20.27773847137081,29.012866973876953,19.356595153985317,17.39357319461289,18.288524588325075,3829479.5,52483330.0,-10.029355107880956,-9.892473490758366
m11h_r7100,594,13.72247449,0.013741532,0.000956297,4097006800.0,4.2724609375,31.674728393554688,20.49484315123955,29.25413703918457,15.810413225294239,16.727791808669878,17.94899213939213,4450618.0,52848788.0,-9.964046369811985,-9.889431657933141
m11h_r7100,593,13.720183981,0.016032042,0.001115799,4096666600.0,4.2724609375,31.691415786743164,21.124444711624584,27.58354377746582,17.330728019422626,16.77833605163054,18.236149125939853,4978960.0,53293228.0,-9.915291986391878,-9.885758597151455
m11h_r7100,592,13.717892419,0.018323603,0.001275539,4096247300.0,4.2724609375,31.72332191467285,20.658494838927112,25.890588760375977,16.02712101719888,16.56920442943828,17.656965789278658,5315168.0,53638180.0,-9.886869171598914,-9.882912134345721
m11h_r7100,591,13.71560152,0.020614503,0.001435161,4095706400.0,4.2724609375,31.739580154418945,20.924606137001373,25.886629104614258,17.62711653547135,16.770726344634575,17.283394993852667,5310013.5,54272784.0,-9.88723318814753,-9.877746713459262
