galaxy,Mvir,Mgas,Mbar,Mstar
431,7.07e+10,6.51e+09,7.14e+09,6.38e+08
442,6.75e+10,6.76e+09,7.40e+09,6.40e+08
468,6.23e+10,5.98e+09,6.63e+09,6.54e+08
488,6.06e+10,6.10e+09,6.60e+09,4.99e+08
492,6.03e+10,4.51e+09,5.02e+09,5.13e+08
502,5.87e+10,5.12e+09,5.65e+09,5.26e+08
515,5.57e+10,4.83e+09,5.45e+09,6.14e+08
523,5.39e+10,4.57e+09,5.23e+09,6.56e+08
544,5.10e+10,3.49e+09,4.14e+09,6.45e+08
556,4.80e+10,3.28e+09,3.92e+09,6.42e+08
568,4.78e+10,2.86e+09,3.40e+09,5.37e+08
569,4.68e+10,4.08e+09,4.63e+09,5.47e+08
571,4.78e+10,3.19e+09,3.66e+09,4.64e+08
597,4.53e+10,2.18e+09,2.68e+09,5.00e+08
613,4.37e+10,2.77e+09,3.19e+09,4.20e+08
614,4.45e+10,1.08e+09,1.52e+09,4.41e+08
615,4.25e+10,3.58e+09,4.05e+09,4.72e+08
618,4.32e+10,2.19e+09,2.63e+09,4.42e+08
634,4.14e+10,4.14e+10,2.95e+09,4.33e+08
