galaxy	w50_cdm	w20_cdm	w10_cdm	w50_sidm	w20_sidm	w10_sidm
431_x	145.599993	179.1999928	179.1999928	123.1999935	145.59999299999998	156.799993
431_y	134.3999978	156.79999235	179.199992	100.79999799999999	134.39999295	156.7999928
431_z	145.5999935	-1	-1	67.199994	123.199994	-1
468_x	67.19999835	134.399998	168.0	-1	-1	-1
468_y	78.39999850000001	134.39999705000002	156.799997	-1	-1	-1
468_z	78.4000035	123.199993	156.7999928	-1	-1	-1
492_x	156.7999972	190.39999705000002	201.599997	134.39999799999998	179.1999972	179.1999972
492_y	78.399999	123.1999935	145.59999299999998	78.39999399999999	123.19999399999999	145.5999935
492_z	55.99999500000001	-1	-1	55.99999500000001	-1	-1
502_x	89.59999834999999	145.6	168.000002	-1	-1	-1
502_y	67.199998	134.39999765	156.7999972	-1	-1	-1
502_z	89.5999985	134.39999300000002	167.9999928	-1	-1	-1
523_x	89.599998	123.199998	123.199998	-1	-1	-1
523_y	78.3999985	100.799998	111.999998	-1	-1	-1
523_z	78.400003	100.79999799999999	111.999998	-1	-1	-1
569_x	-1	-1	-1	-1	-1	-1
569_y	67.199998	89.59999800000001	100.799998	-1	-1	-1
569_z	89.59999200000001	-1	-1	-1	-1	-1
